Circular rotation test
---------------------------------------------
Number of tests             : 2500
Number of CORDIC iterations : 15
Number format               : q0.31
CORDIC iteration logging    : OFF
Test logging                : OFF
Input constraints           :  ON
---------------------------------------------
---------------------------------------------
Test table
No :     init x,     init y,   init ang |      exp x,      exp y,     exp ang |      error x,      error y,    error ang : overflows (xyz), overflow iteration
 0 :   0.288310,   0.022787, -91.550984 |   0.024661,  -0.475619,    0.000000 | 6.832292e-06, 3.525676e-07, 8.229353e-04 : 000, -1
 1 :   0.045354,  -0.257065, -89.397711 |  -0.422515,  -0.079132,    0.000000 | 7.880475e-08, 4.195673e-07, 5.699694e-05 : 000, -1
 2 :   0.538467,  -0.253039, -42.085398 |   0.378797,  -0.903566,    0.000000 | 1.233794e-06, 5.172324e-07, 7.811934e-05 : 000, -1
 3 :   0.216965,  -0.402489,  76.190816 |   0.728926,   0.188758,    0.000000 | 3.213232e-06, 1.241071e-05, 9.755697e-04 : 000, -1
 4 :   0.482171,   0.252311, -15.296672 |   0.875504,   0.191300,    0.000000 | 7.401958e-06, 3.388259e-05, 2.217265e-03 : 000, -1
 5 :  -0.333620,   0.383982, -69.780792 |   0.403483,   0.734078,    0.000000 | 2.507322e-05, 1.378152e-05, 1.956839e-03 : 000, -1
 6 :   0.472879,   0.257835,  38.081354 |   0.351078,   0.814510,    0.000000 | 3.352709e-05, 1.445332e-05, 2.358584e-03 : 000, -1
 7 :   0.301808,   0.164704, -57.974055 |   0.493512,  -0.277532,    0.000000 | 1.069627e-05, 1.902123e-05, 2.208380e-03 : 000, -1
 8 :  -0.251273,  -0.163312, -49.276788 |  -0.473775,   0.138141,    0.000000 | 3.515660e-06, 1.205758e-05, 1.458116e-03 : 000, -1
 9 :   0.201247,  -0.461206, -95.948476 |  -0.789752,  -0.250912,    0.000000 | 6.420465e-06, 2.020981e-05, 1.466079e-03 : 000, -1
10 :  -0.441365,   0.068022,  34.979615 |  -0.659742,  -0.324896,    0.000000 | 1.219733e-05, 2.476473e-05, 2.150713e-03 : 000, -1
11 :  -0.256397,   0.042929, -79.653771 |  -0.006286,   0.428056,    0.000000 | 2.233418e-05, 3.298156e-07, 2.989490e-03 : 000, -1
12 :  -0.360337,   0.184773, -54.520708 |  -0.096627,   0.659816,    0.000000 | 1.105273e-05, 1.617287e-06, 9.598117e-04 : 000, -1
13 :  -0.203534,  -0.498203,  91.026613 |   0.826294,  -0.320419,    0.000000 | 3.566350e-06, 9.198082e-06, 6.376952e-04 : 000, -1
14 :   0.044687,   0.302970,  20.485277 |  -0.105669,   0.493122,    0.000000 | 1.431362e-05, 3.065293e-06, 1.662802e-03 : 000, -1
15 :   0.341454,   0.191866,   1.624796 |   0.553108,   0.331774,    0.000000 | 1.403785e-05, 2.340588e-05, 2.424549e-03 : 000, -1
16 :   0.390946,   0.219511,  40.001555 |   0.260800,   0.690741,    0.000000 | 2.136662e-06, 8.076172e-07, 1.772773e-04 : 000, -1
17 :  -0.194382,  -0.268108,  -8.679987 |  -0.383065,  -0.388145,    0.000000 | 1.501827e-05, 1.482132e-05, 2.216846e-03 : 000, -1
18 :  -0.248027,  -0.438533, -90.916062 |  -0.715537,   0.419935,    0.000000 | 4.339974e-06, 7.391325e-06, 5.920138e-04 : 000, -1
19 :   0.448912,  -0.227920,  51.151289 |   0.756016,   0.340300,    0.000000 | 2.263264e-06, 5.026890e-06, 3.811251e-04 : 000, -1
20 :   0.147209,  -0.066294, -49.992915 |   0.072225,  -0.255868,    0.000000 | 5.748212e-06, 1.621535e-06, 1.287041e-03 : 000, -1
21 :   0.560823,  -0.232318,  72.502978 |   0.642540,   0.765789,    0.000000 | 2.846215e-05, 2.388068e-05, 2.129590e-03 : 000, -1
22 :  -0.177869,   0.389947, -34.479224 |   0.122073,   0.695161,    0.000000 | 1.252171e-05, 2.197655e-06, 1.032064e-03 : 000, -1
23 :  -0.321552,  -0.418264,  55.280029 |   0.264544,  -0.827542,    0.000000 | 4.351160e-05, 1.390968e-05, 3.012456e-03 : 000, -1
24 :   0.180775,  -0.377409, -48.142755 |  -0.264258,  -0.636439,    0.000000 | 2.860390e-05, 1.187746e-05, 2.575172e-03 : 000, -1
25 :  -0.162435,   0.569312, -15.796278 |  -0.002181,   0.974931,    0.000000 | 1.377640e-05, 3.167330e-08, 8.096080e-04 : 000, -1
26 :   0.087798,  -0.321495, -71.489970 |  -0.456137,  -0.305179,    0.000000 | 1.212914e-05, 1.812975e-05, 2.276944e-03 : 000, -1
27 :   0.195447,  -0.503853, -29.157409 |  -0.123181,  -0.881396,    0.000000 | 1.685759e-05, 2.356043e-06, 1.095766e-03 : 000, -1
28 :  -0.391729,   0.407707,  14.903639 |  -0.796062,   0.482898,    0.000000 | 2.036610e-05, 3.356923e-05, 2.416167e-03 : 000, -1
29 :   0.322309,   0.243589,  63.729214 |  -0.124777,   0.653490,    0.000000 | 2.160178e-05, 4.127467e-06, 1.894142e-03 : 000, -1
30 :  -0.448765,   0.105657,  -8.890781 |  -0.703238,   0.286117,    0.000000 | 1.599187e-05, 3.931372e-05, 3.202977e-03 : 000, -1
31 :  -0.152150,   0.135266, -95.284492 |   0.244881,   0.228973,    0.000000 | 4.105648e-06, 4.391574e-06, 1.027705e-03 : 000, -1
32 :  -0.033640,   0.531850,  49.541343 |  -0.702343,   0.526175,    0.000000 | 2.446533e-05, 3.265822e-05, 2.664104e-03 : 000, -1
33 :  -0.572810,   0.194698, -47.071984 |  -0.407687,   0.909049,    0.000000 | 5.179316e-05, 2.322371e-05, 3.264500e-03 : 000, -1
34 :   0.332527,  -0.085976, -76.666124 |  -0.011476,  -0.565483,    0.000000 | 6.774383e-06, 1.358924e-07, 6.864779e-04 : 000, -1
35 :  -0.435769,  -0.232962, -65.771038 |  -0.644334,   0.496959,    0.000000 | 1.159573e-05, 1.502961e-05, 1.336746e-03 : 000, -1
36 :  -0.504181,   0.333120, -40.186088 |  -0.280308,   0.954827,    0.000000 | 4.775247e-05, 1.402125e-05, 2.865605e-03 : 000, -1
37 :   0.244331,  -0.067528, -76.883613 |  -0.016995,  -0.417092,    0.000000 | 1.079657e-05, 4.390655e-07, 1.483178e-03 : 000, -1
38 :  -0.484951,  -0.135768, -26.475631 |  -0.814519,   0.155899,    0.000000 | 8.392640e-06, 4.383321e-05, 3.083451e-03 : 000, -1
39 :  -0.465978,  -0.228558,  94.086980 |   0.430113,  -0.738578,    0.000000 | 3.447059e-05, 2.007623e-05, 2.674162e-03 : 000, -1
40 :  -0.369290,   0.174453, -67.401166 |   0.031533,   0.671835,    0.000000 | 8.112087e-06, 3.806392e-07, 6.919261e-04 : 000, -1
41 :  -0.477438,  -0.019310, -28.687316 |  -0.704983,   0.349516,    0.000000 | 8.488095e-06, 1.712041e-05, 1.391228e-03 : 000, -1
42 :   0.206732,   0.134288,  80.926385 |  -0.164685,   0.371052,    0.000000 | 1.816248e-05, 8.058339e-06, 2.804333e-03 : 000, -1
43 :   0.194526,   0.179908,  34.413624 |   0.096834,   0.425455,    0.000000 | 1.203592e-05, 2.739635e-06, 1.620641e-03 : 000, -1
44 :  -0.095482,  -0.167226, -61.419905 |  -0.317045,   0.006338,    0.000000 | 3.654138e-07, 1.822539e-05, 3.293920e-03 : 000, -1
45 :   0.272819,   0.520619,  55.078190 |  -0.445771,   0.859157,    0.000000 | 4.485244e-05, 2.327488e-05, 2.991334e-03 : 000, -1
46 :   0.024281,  -0.071533,  99.472271 |   0.109611,   0.058827,    0.000000 | 1.579764e-06, 2.943213e-06, 1.539085e-03 : 000, -1
47 :  -0.018290,   0.439438,  72.332568 |  -0.698658,   0.190923,    0.000000 | 7.707240e-06, 2.820613e-05, 2.312986e-03 : 000, -1
48 :  -0.174996,   0.036571,  63.710050 |  -0.181631,  -0.231695,    0.000000 | 3.059680e-07, 2.398649e-07, 7.560477e-05 : 000, -1
49 :   0.415709,  -0.017149,  86.744622 |   0.067070,   0.681865,    0.000000 | 4.130199e-05, 4.064187e-06, 3.470359e-03 : 000, -1
50 :  -0.123715,  -0.410013, -30.756091 |  -0.520358,  -0.476045,    0.000000 | 1.436863e-05, 1.570687e-05, 1.729354e-03 : 000, -1
51 :  -0.149380,   0.173187, -99.511008 |   0.321925,   0.195486,    0.000000 | 7.599700e-06, 1.251356e-05, 2.227155e-03 : 000, -1
52 :   0.588056,   0.034255, -90.752161 |   0.043693,  -0.969044,    0.000000 | 4.134098e-05, 1.862261e-06, 2.444331e-03 : 000, -1
53 :  -0.005161,  -0.423008, -45.184891 |  -0.500142,  -0.484944,    0.000000 | 2.510754e-05, 2.589626e-05, 2.966858e-03 : 000, -1
54 :   0.116905,  -0.468625,  88.667473 |   0.775982,   0.174517,    0.000000 | 9.399682e-06, 4.179900e-05, 3.086217e-03 : 000, -1
55 :  -0.197161,  -0.309577,  64.809931 |   0.323127,  -0.510782,    0.000000 | 2.429848e-05, 1.537068e-05, 2.725460e-03 : 000, -1
56 :  -0.155164,  -0.169076, -64.280873 |  -0.361730,   0.109378,    0.000000 | 5.255703e-06, 1.738006e-05, 2.752785e-03 : 000, -1
57 :   0.095589,  -0.574394,  23.574297 |   0.522571,  -0.803993,    0.000000 | 4.037915e-05, 2.624950e-05, 2.877591e-03 : 000, -1
58 :  -0.451149,  -0.258918,  27.286151 |  -0.464801,  -0.719520,    0.000000 | 4.068870e-05, 2.628721e-05, 3.240108e-03 : 000, -1
59 :  -0.280621,   0.454090,  49.689339 |  -0.869173,   0.131375,    0.000000 | 3.540944e-06, 2.343466e-05, 1.544869e-03 : 000, -1
60 :   0.082994,  -0.037318, -84.762616 |  -0.048721,  -0.141711,    0.000000 | 1.106106e-06, 3.800028e-07, 4.477613e-04 : 000, -1
61 :   0.411599,  -0.115089, -73.585596 |   0.009737,  -0.703736,    0.000000 | 4.260840e-05, 5.895901e-07, 3.469018e-03 : 000, -1
62 :   0.403442,   0.257146,  80.330387 |  -0.305849,   0.726061,    0.000000 | 1.651141e-05, 6.954479e-06, 1.302883e-03 : 000, -1
63 :  -0.164681,  -0.491604, -76.668650 |  -0.850270,   0.077214,    0.000000 | 4.327960e-06, 4.766657e-05, 3.212197e-03 : 000, -1
64 :  -0.525414,  -0.148278,  20.507361 |  -0.724857,  -0.531819,    0.000000 | 5.205747e-06, 7.095141e-06, 5.608331e-04 : 000, -1
65 :   0.034433,  -0.197443,  95.652220 |   0.317976,   0.088451,    0.000000 | 4.665266e-06, 1.677665e-05, 3.022850e-03 : 000, -1
66 :  -0.465336,   0.373626,  89.627468 |  -0.620242,  -0.762280,    0.000000 | 1.468235e-05, 1.194592e-05, 1.103561e-03 : 000, -1
