Vivado Simulator 2020.2
Time resolution is 1 ps
XilinxAXIVIP: Found at Path: tb_top.DUT.design_1_i.axi_vip_0.inst
Test initialized... Waiting for system reset...
System reset completed... Starting test...
Circular rotation test
---------------------------------------------
Number of tests             : 10000
Number of CORDIC iterations : 30
Number format               : q0.31
CORDIC iteration logging    : OFF
Test logging                : OFF
Input constraints           : OFF
---------------------------------------------
---------------------------------------------
Test table
No :     init x,     init y,   init ang |      exp x,      exp y,     exp ang |      error x,      error y,    error ang : overflows (xyz), overflow iteration : Cycle Count
 0 :   0.141272,  -0.495808, -173.645310 |  -0.321582,   0.785711,    0.000000 | 2.339858e-09, 1.635504e-09, 8.381903e-08 : 000, -1 :  84
 1 :  -0.609853,   0.052535,  99.665770 |   0.083334,  -1.004550,    0.000000 | 6.125976e-02, 2.000268e+00, 7.152756e-02 : 010,  5 :  60
 2 :  -0.603439,  -0.927999,   1.339710 |  -0.957718,  -1.551008,    0.000000 | 1.516559e+00, 1.857290e+00, 1.709524e+01 : 010,  1 :  56
 3 :   0.053461,   0.462034,  42.966440 |  -0.454158,   0.616765,    0.000000 | 5.146749e-10, 3.489151e-09, 8.381903e-08 : 000, -1 :  84
 4 :   0.928355,   0.548278, 175.769791 |  -1.591214,  -0.787654,    0.000000 | 1.924542e+00, 1.429414e+00, 1.420474e+01 : 100,  1 :  56
 5 :  -0.224880,  -0.226821, -60.359860 |  -0.507788,   0.137141,    0.000000 | 8.478285e-11, 1.794920e-09, 1.676381e-07 : 000, -1 :  84
 6 :   0.895995,  -0.532640, -167.064498 |  -1.634394,   0.524577,    0.000000 | 2.024082e+00, 1.173615e+00, 5.499447e+00 : 100,  1 :  56
 7 :   0.561916,   0.946790, -34.504821 |   1.645766,   0.760668,    0.000000 | 2.329497e+00, 6.214407e-01, 1.606987e+01 : 100,  1 :  56
 8 :  -0.093735,  -0.228201,  65.172473 |   0.276246,  -0.297884,    0.000000 | 2.188149e-09, 1.211330e-09, -0.000000e+00 : 000, -1 :  84
 9 :  -0.261287,  -0.822896, -108.769318 |  -1.144605,   0.843414,    0.000000 | 1.040904e+00, 4.003635e-02, 3.343689e-01 : 010,  1 :  56
10 :  -0.609882,   0.042588, -89.675163 |   0.064437,   1.004711,    0.000000 | 4.035400e-02, 2.001830e+00, 1.264724e+00 : 010,  5 :  60
11 :   0.128056,   0.667733, -69.187504 |   1.102772,   0.193581,    0.000000 | 2.072591e+00, 2.853917e-01, 1.165870e+01 : 100,  2 :  57
12 :  -0.413078,  -0.925668, -170.528582 |   0.420127,   1.615510,    0.000000 | 1.263343e+00, 2.020469e+00, 8.963531e+00 : 010,  1 :  56
13 :  -0.674566,   0.418941, -30.024716 |  -0.616577,   1.153157,    0.000000 | 8.141994e-01, 1.874626e-01, 1.158977e+01 : 010,  1 :  56
