Circular rotation test
---------------------------------------------
Number of tests             : 2500
Number of CORDIC iterations : 30
Number format               : q0.31
CORDIC iteration logging    : OFF
Test logging                : OFF
Input constraints           : OFF
---------------------------------------------
---------------------------------------------
Test table
No :     init x,     init y,   init ang |      exp x,      exp y,     exp ang |      error x,      error y,    error ang : overflows (xyz), overflow iteration
 0 :   0.210901,  -0.717887, -136.595608 |  -1.064656,   0.620239,    0.000000 | 1.924452e+00, 1.052689e+00, 5.099431e+01 : 100,  2
 1 :   0.271516,   0.229429, 126.304926 |  -0.569205,   0.136628,    0.000000 | 1.202547e-01, 2.390118e-01, 2.642196e+01 : 000, -1
 2 :  -0.674466,  -0.113178,  49.825163 |  -0.574121,  -0.968887,    0.000000 | 4.066540e-01, 1.900598e+00, 2.173989e+01 : 010,  1
 3 :  -0.872169,  -0.014341, -163.884735 |   1.373261,   0.421350,    0.000000 | 1.830857e+00, 1.120267e+00, 9.231968e+01 : 010,  1
 4 :  -0.651902,  -0.478119,   5.503677 |  -0.993062,  -0.886680,    0.000000 | 8.192801e-01, 1.756659e+00, 3.949632e+01 : 010,  0
 5 :   0.095679,   0.691044,  -9.612945 |   0.345381,   1.095693,    0.000000 | 1.035227e-01, 1.984707e+00, 5.214239e+00 : 010,  2
 6 :   0.607230,  -0.373656,  59.612102 |   1.036622,   0.551326,    0.000000 | 1.991519e+00, 4.333418e-02, 2.083295e+00 : 100,  2
 7 :   0.288310,   0.022787, -91.550984 |   0.024661,  -0.475619,    0.000000 | 1.506535e-09, 4.036758e-10, 0.000000e+00 : 000, -1
 8 :   0.781825,  -0.435768,  10.850380 |   1.399547,  -0.462415,    0.000000 | 2.181954e+00, 8.084722e-01, 3.414962e+01 : 100,  0
 9 :   0.266653,   0.321852, 129.277504 |  -0.688270,   0.004374,    0.000000 | 9.075437e-02, 3.372538e-01, 2.939454e+01 : 000, -1
10 :   0.045354,  -0.257065, -89.397711 |  -0.422515,  -0.079132,    0.000000 | 3.367625e-09, 2.334814e-09, 0.000000e+00 : 000, -1
11 :  -0.761559,  -0.988113,  77.562912 |   1.318907,  -1.575118,    0.000000 | 1.092353e+00, 1.825446e+00, 3.256291e+01 : 010,  0
12 :  -0.743624,   0.757643,  54.128957 |  -1.728576,  -0.261235,    0.000000 | 2.227309e+00, 2.752544e-01, 9.128957e+00 : 100,  0
13 :  -0.637530,   0.969797,   9.521284 |  -1.299567,   1.401361,    0.000000 | 1.692240e+00, 1.069095e+00, 3.547872e+01 : 100,  0
14 :  -0.349032,  -0.989505, 178.758840 |   0.609932,   1.616645,    0.000000 | 3.054100e-02, 9.551822e-01, 1.337588e+02 : 010,  0
15 :   0.538467,  -0.253039, -42.085398 |   0.378797,  -0.903566,    0.000000 | 6.744835e-10, 3.483568e-10, 1.676381e-07 : 000, -1
16 :   0.216965,  -0.402489,  76.190816 |   0.728926,   0.188758,    0.000000 | 1.694016e-10, 2.421190e-09, 8.381903e-08 : 000, -1
17 :   0.526389,   0.505197, -124.940542 |   0.185520,  -1.187059,    0.000000 | 1.153933e+00, 1.165868e+00, 7.994054e+01 : 100,  0
18 :   0.952152,  -0.659992, -34.174007 |   0.686743,  -1.779928,    0.000000 | 3.945824e-01, 2.167784e+00, 1.082599e+01 : 010,  0
19 :   0.435455,   0.841874, -90.325515 |   1.382268,  -0.724954,    0.000000 | 2.104940e+00, 1.131373e+00, 4.532552e+01 : 100,  0
20 :  -0.278200,  -0.777978,  18.266358 |  -0.033489,  -1.360179,    0.000000 | 5.332664e-01, 2.304001e+00, 2.673364e+01 : 010,  0
21 :   0.656981,   0.387623, -69.300135 |   0.979534,  -0.786419,    0.000000 | 1.934930e+00, 5.170611e-01, 2.430014e+01 : 100,  0
22 :   0.552161,   0.693609, -150.106002 |  -0.219024,  -1.443416,    0.000000 | 5.352064e-01, 1.584864e+00, 1.051060e+02 : 100,  0
23 :   0.463433,  -0.629193, -107.757508 |  -1.219520,  -0.410795,    0.000000 | 1.053761e+00, 1.318169e+00, 6.275751e+01 : 010,  0
24 :  -0.741961,   0.234149, -85.122498 |   0.280304,   1.250192,    0.000000 | 3.000609e-01, 2.020176e+00, 1.355745e+01 : 010,  1
25 :   0.482171,   0.252311, -15.296672 |   0.875504,   0.191300,    0.000000 | 1.590651e-09, 1.450367e-10, 8.381903e-08 : 000, -1
26 :  -0.378091,  -0.940839, -22.556966 |  -1.169322,  -1.191969,    0.000000 | 1.850392e+00, 6.292217e-01, 2.244303e+01 : 100,  0
27 :  -0.860291,   0.120715,   5.643753 |  -1.429376,   0.058504,    0.000000 | 2.078581e+00, 3.075766e-01, 1.279120e+01 : 100,  1
28 :   0.749168,   0.049414,  45.262820 |   0.810544,   0.933626,    0.000000 | 5.100814e-01, 1.785166e+00, 2.630223e+01 : 010,  1
29 :  -0.588656,   0.341542, -11.808793 |  -0.833760,   0.748913,    0.000000 | 1.193282e-09, 3.557444e-09, 8.381903e-08 : 000, -1
30 :   0.876459,   0.435237, 114.409633 |  -1.249128,   1.018111,    0.000000 | 1.690350e+00, 1.706415e+00, 6.940963e+01 : 010,  0
31 :  -0.978826,   0.332861,  56.438358 |  -1.347870,  -1.040144,    0.000000 | 2.036184e+00, 3.941790e-01, 1.143836e+01 : 100,  0
32 :   0.049019,   0.922428, -43.848784 |   1.110526,   1.039549,    0.000000 | 5.757827e-01, 1.680417e+00, 2.541384e+01 : 010,  1
33 :   0.206211,   0.444421, -102.590701 |   0.640233,  -0.490947,    0.000000 | 2.247816e-02, 3.079357e-02, 2.707735e+00 : 000, -1
34 :  -0.020730,  -0.722311, -32.852661 |  -0.673945,  -0.980720,    0.000000 | 2.816933e-01, 1.907618e+00, 1.441771e+01 : 010,  1
35 :  -0.287949,  -0.829852,  61.577488 |   0.976147,  -1.067471,    0.000000 | 4.342440e-01, 1.949669e+00, 1.657749e+01 : 010,  0
36 :   0.219958,  -0.343276, -120.113037 |  -0.670727,  -0.029721,    0.000000 | 5.165330e-02, 2.300978e-01, 2.023007e+01 : 000, -1
37 :   0.969258,  -0.876904, -34.113670 |   0.511607,  -2.090739,    0.000000 | 4.192527e-01, 2.244577e+00, 1.088633e+01 : 010,  0
38 :   0.338273,  -0.859563,  14.596082 |   0.895786,  -1.229431,    0.000000 | 1.697950e+00, 7.081415e-01, 3.040392e+01 : 100,  0
39 :  -0.158541,   0.806770, -179.084777 |   0.282267,  -1.324218,    0.000000 | 1.151382e+00, 1.965415e+00, 1.075197e+02 : 100,  1
40 :   0.154126,  -0.787360, -71.160619 |  -1.145173,  -0.658902,    0.000000 | 2.041196e+00, 3.403343e-02, 4.044319e-01 : 100,  1
41 :  -0.634373,   0.649098, -21.460191 |  -0.581171,   1.376997,    0.000000 | 5.958957e-01, 2.093526e+00, 2.353981e+01 : 010,  0
42 :  -0.333620,   0.383982, -69.780792 |   0.403483,   0.734078,    0.000000 | 3.126845e-10, 2.731713e-10, 0.000000e+00 : 000, -1
43 :   0.151028,  -0.007814, 115.759110 |  -0.096496,   0.229585,    0.000000 | 6.648578e-02, 1.764000e-02, 1.587614e+01 : 000, -1
44 :   0.605507,   0.759475, -60.590720 |   1.579137,  -0.254493,    0.000000 | 2.214155e+00, 4.084609e-01, 1.559072e+01 : 100,  0
45 :   0.472879,   0.257835,  38.081354 |   0.351078,   0.814510,    0.000000 | 4.114025e-10, 1.214234e-10, 8.381903e-08 : 000, -1
46 :   0.656461,  -0.153446, -29.463342 |   0.816935,  -0.751733,    0.000000 | 3.597528e-09, 1.308106e-09, 0.000000e+00 : 000, -1
47 :   0.315538,   0.957572,  90.680248 |  -1.582950,   0.500858,    0.000000 | 9.409160e-01, 1.227747e+00, 4.568025e+01 : 010,  0
48 :   0.866539,  -0.618431,  44.930555 |   1.729501,   0.286809,    0.000000 | 2.244530e+00, 3.870160e-02, 6.944491e-02 : 100,  0
49 :   0.466128,  -0.919806, 100.258820 |   1.353779,   1.025089,    0.000000 | 1.967845e+00, 1.478768e+00, 5.525882e+01 : 100,  0
50 :  -0.815474,   0.466784, -161.904011 |   1.515228,  -0.313545,    0.000000 | 1.863919e+00, 4.041966e-01, 1.169040e+02 : 010,  0
51 :  -0.120932,   0.941681,  36.867911 |  -1.089711,   1.121128,    0.000000 | 2.027099e+00, 3.003793e-01, 8.132089e+00 : 100,  0
52 :  -0.181083,  -0.578222, -179.722689 |   0.293588,   0.953625,    0.000000 | 1.180468e+00, 4.964196e-01, 7.983972e+01 : 000, -1
53 :  -0.431672,  -0.248314, -125.085390 |   0.073988,   0.816737,    0.000000 | 3.548241e-01, 4.624070e-02, 2.520242e+01 : 000, -1
54 :   0.839651,  -0.317783, -59.102750 |   0.260969,  -1.455205,    0.000000 | 2.608985e-01, 2.297771e+00, 1.410275e+01 : 010,  0
55 :  -0.827773,  -0.221863, -178.142683 |   1.350587,   0.409344,    0.000000 | 4.002234e-01, 1.965661e-01, 1.331427e+02 : 100,  0
56 :   0.301808,   0.164704, -57.974055 |   0.493512,  -0.277532,    0.000000 | 9.004382e-10, 1.034908e-09, 8.381903e-08 : 000, -1
57 :  -0.591350,  -0.030172, 129.053581 |   0.652131,  -0.724915,    0.000000 | 4.360408e-01, 2.259170e-01, 2.917062e+01 : 000, -1
58 :  -0.251273,  -0.163312, -49.276788 |  -0.473775,   0.138141,    0.000000 | 3.828750e-10, 1.146939e-09, 0.000000e+00 : 000, -1
59 :   0.733760,  -0.653035, 177.314067 |  -1.156605,   1.130835,    0.000000 | 5.433993e-01, 1.050110e+00, 1.323141e+02 : 100,  0
60 :   0.595653,  -0.344344, -77.483593 |  -0.340996,  -1.080476,    0.000000 | 1.223065e-01, 2.014825e+00, 5.918542e+00 : 010,  1
61 :   0.757728,   0.790997,  67.890809 |  -0.737165,   1.646301,    0.000000 | 7.038958e-01, 2.097576e+00, 2.289081e+01 : 010,  0
62 :  -0.948607,  -0.507407, -163.254260 |   1.255132,   1.250232,    0.000000 | 7.111467e-01, 8.090315e-01, 1.182543e+02 : 100,  0
63 :   0.831079,  -0.938257, -155.127626 |  -1.891506,   0.826147,    0.000000 | 1.784328e+00, 5.954826e-01, 1.101276e+02 : 010,  0
64 :   0.386629,  -0.564093,  31.487039 |   1.028122,  -0.459604,    0.000000 | 2.002926e+00, 2.227750e-02, 9.841532e-01 : 100,  2
65 :   0.388655,  -0.158285, 160.986252 |  -0.520181,   0.454952,    0.000000 | 6.671198e-01, 2.203098e-01, 6.110329e+01 : 000, -1
66 :   0.284249,   0.644874,  71.899269 |  -0.863969,   0.774862,    0.000000 | 1.851579e+00, 2.323479e-01, 1.370203e+01 : 100,  2
67 :   0.381458,  -0.913623, 161.001092 |  -0.104154,   1.627059,    0.000000 | 6.007662e-01, 2.159224e+00, 1.160011e+02 : 100,  0
68 :  -0.586448,   0.627112, 106.687988 |  -0.711887,  -1.221615,    0.000000 | 1.498327e+00, 1.262280e+00, 6.168799e+01 : 100,  0
69 :   0.542741,   0.615042,  72.989920 |  -0.707057,   1.150958,    0.000000 | 6.347566e-01, 1.993174e+00, 2.798992e+01 : 010,  0
70 :  -0.380986,  -0.715804, 122.240477 |   1.331710,   0.098177,    0.000000 | 9.968920e-01, 8.050334e-01, 7.724048e+01 : 010,  0
71 :   0.201247,  -0.461206, -95.948476 |  -0.789752,  -0.250912,    0.000000 | 1.003848e-09, 1.755184e-09, 8.381903e-08 : 000, -1
72 :  -0.377172,  -0.653374,  64.009231 |   0.694946,  -1.029806,    0.000000 | 4.187442e-01, 1.999260e+00, 1.900923e+01 : 010,  0
73 :  -0.296842,   0.350285, 103.445392 |  -0.447364,  -0.609555,    0.000000 | 3.701089e-02, 2.897527e-02, 3.562426e+00 : 000, -1
74 :   0.856964,   0.164275, 138.645357 |  -1.238044,   0.729352,    0.000000 | 1.930733e+00, 1.708113e+00, 9.364536e+01 : 010,  0
75 :  -0.993625,  -0.535749,  52.267242 |  -0.303609,  -1.833996,    0.000000 | 1.542661e-01, 2.304622e+00, 7.267242e+00 : 010,  0
76 :  -0.441365,   0.068022,  34.979615 |  -0.659742,  -0.324896,    0.000000 | 1.974834e-10, 1.461307e-09, 8.381903e-08 : 000, -1
77 :  -0.258081,   0.687731,   7.086934 |  -0.561477,   1.071442,    0.000000 | 5.612849e-02, 1.986139e+00, 2.688229e+00 : 010,  2
78 :   0.779144,  -0.840123, -161.096939 |  -1.662069,   0.893195,    0.000000 | 1.601090e+00, 5.124617e-01, 1.160969e+02 : 010,  0
79 :  -0.628675,  -0.064741, 149.895727 |   0.949107,  -0.427036,    0.000000 | 9.224869e-01, 1.397347e+00, 6.429443e+01 : 010,  2
80 :  -0.300321,   0.881793, 109.236087 |  -1.208091,  -0.945357,    0.000000 | 2.025977e+00, 1.526828e+00, 6.423609e+01 : 100,  0
81 :  -0.281702,   0.824242, 163.740833 |   0.065314,  -1.432925,    0.000000 | 8.287424e-01, 1.975466e+00, 1.187408e+02 : 100,  0
82 :   0.602535,  -0.881488, -113.131410 |  -1.724690,  -0.342214,    0.000000 | 1.445737e+00, 8.581902e-01, 6.813141e+01 : 010,  0
83 :  -0.256397,   0.042929, -79.653771 |  -0.006286,   0.428056,    0.000000 | 1.534766e-09, 3.382850e-10, 1.676381e-07 : 000, -1
84 :  -0.896579,  -0.509535, 164.796687 |   1.644823,   0.422524,    0.000000 | 2.031867e+00, 1.713617e-01, 1.197967e+02 : 010,  0
85 :  -0.835324,   0.880572, -96.802177 |   1.602810,   1.194144,    0.000000 | 1.557562e+00, 1.478248e+00, 5.180218e+01 : 010,  0
86 :   0.340822,  -0.359454, -101.062760 |  -0.688630,  -0.437240,    0.000000 | 9.148684e-03, 1.408609e-02, 1.179795e+00 : 000, -1
87 :  -0.975242,   0.333850, 109.665540 |   0.022757,  -1.697331,    0.000000 | 6.681507e-01, 1.055940e+00, 6.466554e+01 : 100,  0
88 :  -0.360337,   0.184773, -54.520708 |  -0.096627,   0.659816,    0.000000 | 2.535186e-09, 8.858397e-10, 8.381903e-08 : 000, -1
89 :  -0.792070,   0.781040, 142.280666 |   0.244882,  -1.815389,    0.000000 | 1.820080e-01, 1.804359e+00, 9.728067e+01 : 100,  0
90 :   0.238573,  -0.726290, -165.408550 |  -0.681510,   1.058476,    0.000000 | 1.531110e+00, 1.536944e+00, 7.980726e+01 : 100,  2
91 :  -0.621922,   0.170128,  28.142616 |  -1.035219,  -0.236023,    0.000000 | 2.017272e+00, 1.802542e-01, 9.707668e+00 : 100,  1
92 :   0.996862,   0.278760, 144.890737 |  -1.606934,   0.568612,    0.000000 | 2.325036e+00, 1.292989e+00, 9.989074e+01 : 010,  0
93 :   0.942409,   0.831300, -16.559169 |   1.877715,   0.869869,    0.000000 | 2.104007e+00, 9.809784e-01, 2.844083e+01 : 100,  0
94 :  -0.966158,   0.218220,  -0.938210 |  -1.584934,   0.385359,    0.000000 | 8.369951e-01, 1.200981e+00, 4.406179e+01 : 010,  0
95 :  -0.203534,  -0.498203,  91.026613 |   0.826294,  -0.320419,    0.000000 | 1.712392e-09, 4.066031e-09, 0.000000e+00 : 000, -1
96 :   0.044687,   0.302970,  20.485277 |  -0.105669,   0.493122,    0.000000 | 5.250290e-09, 2.949530e-09, 1.676381e-07 : 000, -1
97 :   0.341454,   0.191866,   1.624796 |   0.553108,   0.331774,    0.000000 | 2.390466e-11, 3.483181e-10, 0.000000e+00 : 000, -1
98 :  -0.297725,   0.155885, 148.334010 |   0.282529,  -0.475869,    0.000000 | 4.512741e-01, 5.119728e-02, 4.845104e+01 : 000, -1
99 :  -0.279989,   0.768301, -116.006103 |   1.339267,  -0.140362,    0.000000 | 8.509552e-01, 8.113484e-01, 7.100610e+01 : 010,  0
100 :   0.390946,   0.219511,  40.001555 |   0.260800,   0.690741,    0.000000 | 7.231293e-10, 1.605540e-10, 8.381903e-08 : 000, -1
101 :   0.818247,  -0.650936, 117.997708 |   0.313938,   1.692965,    0.000000 | 8.447546e-01, 1.525654e+00, 7.299771e+01 : 100,  0
102 :  -0.835725,  -0.735755,  -6.221035 |  -1.499430,  -1.055343,    0.000000 | 1.927950e+00, 1.155312e+00, 3.877897e+01 : 100,  0
103 :  -0.453848,   0.542596, 161.567186 |   0.426509,  -1.083999,    0.000000 | 5.326727e-01, 6.745249e-01, 9.000213e+01 : 100,  1
104 :  -0.194382,  -0.268108,  -8.679987 |  -0.383065,  -0.388145,    0.000000 | 2.086604e-09, 3.048228e-09, 1.676381e-07 : 000, -1
105 :   0.866504,   0.180238,  50.542124 |   0.677663,   1.290342,    0.000000 | 8.603860e-03, 2.243600e+00, 5.542124e+00 : 010,  0
106 :  -0.007411,   0.690731, 107.299443 |  -1.082385,  -0.349895,    0.000000 | 2.042583e+00, 6.841452e-01, 3.573439e+01 : 100,  1
107 :   0.350032,   0.947080, 146.590163 |  -1.339928,  -0.984503,    0.000000 | 7.428793e-01, 2.816142e-01, 1.015902e+02 : 010,  0
108 :  -0.275945,   0.988927,   8.451024 |  -0.688816,   1.544060,    0.000000 | 1.423944e+00, 8.310783e-01, 3.654898e+01 : 100,  0
109 :   0.477324,   0.184723, 135.633677 |  -0.774632,   0.332168,    0.000000 | 3.400391e-01, 3.899946e-01, 3.575071e+01 : 000, -1
110 :  -0.673413,  -0.680812, -108.954365 |  -0.700140,   1.412982,    0.000000 | 1.345915e+00, 1.420381e+00, 6.395437e+01 : 100,  0
111 :   0.290740,   0.674240,   9.449425 |   0.289995,   1.173850,    0.000000 | 1.910049e-01, 2.017120e+00, 8.985524e+00 : 010,  1
112 :   0.573865,   0.472114, 134.986191 |  -1.217946,   0.118776,    0.000000 | 1.319696e+00, 1.072797e+00, 8.998619e+01 : 010,  0
113 :  -0.248027,  -0.438533, -90.916062 |  -0.715537,   0.419935,    0.000000 | 1.873123e-09, 2.444584e-09, 8.381903e-08 : 000, -1
114 :   0.448912,  -0.227920,  51.151289 |   0.756016,   0.340300,    0.000000 | 1.505064e-10, 8.553383e-10, 8.381903e-08 : 000, -1
115 :   0.390400,   0.670704, -125.504621 |   0.525757,  -1.164814,    0.000000 | 1.464652e+00, 1.445118e+00, 8.050462e+01 : 100,  0
116 :   0.147209,  -0.066294, -49.992915 |   0.072225,  -0.255868,    0.000000 | 8.423361e-10, 1.024950e-10, 8.381903e-08 : 000, -1
117 :   0.560823,  -0.232318,  72.502978 |   0.642540,   0.765789,    0.000000 | 1.862153e-09, 6.335646e-10, 8.381903e-08 : 000, -1
118 :  -0.177869,   0.389947, -34.479224 |   0.122073,   0.695161,    0.000000 | 1.935811e-09, 7.320821e-10, 8.381903e-08 : 000, -1
119 :   0.855009,   0.977780, -61.440742 |   2.087366,  -0.466904,    0.000000 | 2.254577e+00, 5.896760e-01, 1.644074e+01 : 100,  0
