Circular rotation test
---------------------------------------------
Number of tests             : 2500
Number of CORDIC iterations : 10
Number format               : q0.31
CORDIC iteration logging    : OFF
Test logging                : OFF
---------------------------------------------
---------------------------------------------
Test table
No :     init x,     init y,   init ang |      exp x,      exp y,     exp ang |      error x,      error y,  error ang
 0 :   0.271516,   0.229429,   5.503677 |   0.408824,   0.418956,    0.000000 | 6.906095e-04, 6.722796e-04,   0.094336 :       OK
 1 :  -0.651902,  -0.478119,  10.850380 |  -0.906119,  -0.975357,    0.000000 | 7.323366e-01, 1.845337e+00,  34.149620 : Overflow
 2 :   0.607230,  -0.373656,  77.562912 |   0.816242,   0.843975,    0.000000 | 1.320974e-03, 1.280609e-03,   0.089782 :       OK
 3 :   0.288310,   0.022787,  54.128957 |   0.247794,   0.406718,    0.000000 | 2.654505e-04, 1.621988e-04,   0.037425 :       OK
 4 :   0.266653,   0.321852, -42.085398 |   0.681121,   0.099037,    0.000000 | 1.380574e-04, 9.572526e-04,   0.080510 :       OK
 5 :   0.045354,  -0.257065,  76.190816 |   0.428915,  -0.028515,    0.000000 | 3.058357e-05, 4.523096e-04,   0.060425 :       OK
 6 :   0.538467,  -0.253039, -15.296672 |   0.745381,  -0.635866,    0.000000 | 9.443469e-04, 1.109622e-03,   0.085209 :       OK
 7 :   0.216965,  -0.402489, -22.556966 |   0.075704,  -0.749154,    0.000000 | 5.598641e-05, 6.140023e-06,   0.004286 :       OK
 8 :   0.526389,   0.505197,   5.643753 |   0.780819,   0.913154,    0.000000 | 7.596277e-01, 1.881567e+00,  39.356247 : Overflow
 9 :   0.482171,   0.252311,  14.596082 |   0.663687,   0.602182,    0.000000 | 5.778834e-04, 6.383699e-04,   0.055053 :       OK
10 :   0.206211,   0.444421,  36.867911 |  -0.167422,   0.789238,    0.000000 | 8.983083e-04, 1.895001e-04,   0.065198 :       OK
11 :   0.219958,  -0.343276, -49.276788 |  -0.192105,  -0.643315,    0.000000 | 1.122720e-03, 3.337528e-04,   0.099956 :       OK
