Circular rotation test
---------------------------------------------
Number of tests             : 2500
Number of CORDIC iterations : 30
Number format               : q0.31
CORDIC iteration logging    : OFF
Test logging                : OFF
---------------------------------------------
---------------------------------------------
Test table
No :     init x,     init y,   init ang |      exp x,      exp y,     exp ang |      error x,      error y,  error ang
 0 :   0.210901,  -0.717887,  49.825163 |   1.127339,  -0.497289,    0.000000 | 1.945057e+00, 4.546963e-01,  21.739888 : Overflow
 1 :   0.271516,   0.229429,   5.503677 |   0.408824,   0.418956,    0.000000 | 1.725625e-09, 1.581993e-09,   0.000000 :       OK
 2 :  -0.674466,  -0.113178,  -9.612945 |  -1.126212,   0.001715,    0.000000 | 2.057923e+00, 1.657512e-01,   8.822004 : Overflow
 3 :  -0.872169,  -0.014341,  59.612102 |  -0.706159,  -1.250888,    0.000000 | 2.915862e-01, 1.935464e+00,  11.952949 : Overflow
 4 :  -0.651902,  -0.478119,  10.850380 |  -0.906119,  -0.975357,    0.000000 | 7.323366e-01, 1.845337e+00,  34.149620 : Overflow
 5 :   0.095679,   0.691044, -89.397711 |   1.139577,  -0.145589,    0.000000 | 2.055172e+00, 3.475930e-01,  17.832660 : Overflow
 6 :   0.607230,  -0.373656,  77.562912 |   0.816242,   0.843975,    0.000000 | 3.316236e-10, 3.958421e-10,   0.000000 :       OK
 7 :   0.288310,   0.022787,  54.128957 |   0.247794,   0.406718,    0.000000 | 1.112423e-09, 3.736831e-10,   0.000000 :       OK
 8 :   0.781825,  -0.435768,   9.521284 |   1.388445,  -0.494753,    0.000000 | 2.170851e+00, 8.408103e-01,  35.478716 : Overflow
 9 :   0.266653,   0.321852, -42.085398 |   0.681121,   0.099037,    0.000000 | 4.658335e-10, 3.456825e-10,   0.000000 :       OK
10 :   0.045354,  -0.257065,  76.190816 |   0.428915,  -0.028515,    0.000000 | 1.066029e-09, 1.658159e-09,   0.000000 :       OK
11 :  -0.761559,  -0.988113, -34.174007 |  -1.951569,  -0.641787,    0.000000 | 2.201897e+00, 4.152331e-01,  10.825993 : Overflow
12 :  -0.743624,   0.757643,  18.266358 |  -1.553923,   0.800964,    0.000000 | 2.052656e+00, 7.869445e-01,  26.733642 : Overflow
13 :  -0.637530,   0.969797, -69.300135 |   1.122830,   1.546590,    0.000000 | 7.905637e-01, 1.939263e+00,  24.300135 : Overflow
14 :  -0.349032,  -0.989505, -85.122498 |  -1.672447,   0.434143,    0.000000 | 2.333910e+00, 1.074616e+00,  40.122498 : Overflow
15 :   0.538467,  -0.253039, -15.296672 |   0.745381,  -0.635866,    0.000000 | 6.410620e-10, 1.630865e-09,   0.000000 :       OK
16 :   0.216965,  -0.402489, -22.556966 |   0.075704,  -0.749154,    0.000000 | 2.748936e-09, 1.118090e-09,   0.000000 :       OK
17 :   0.526389,   0.505197,   5.643753 |   0.780819,   0.913154,    0.000000 | 7.596277e-01, 1.881567e+00,  39.356247 : Overflow
18 :   0.952152,  -0.659992,  45.262820 |   1.875657,   0.348810,    0.000000 | 2.263513e+00, 5.664895e-02,   0.262820 : Overflow
19 :   0.435455,   0.841874, -11.808793 |   0.985627,   1.210274,    0.000000 | 1.708299e+00, 8.038545e-01,  33.191207 : Overflow
