Circular vectoring test
---------------------------------------------
Number of tests             : 2500
Number of CORDIC iterations : 30
Number format               : q0.31
CORDIC iteration logging    : OFF
Test logging                : OFF
Input constraints           : OFF
---------------------------------------------
---------------------------------------------
Test table
No :     init x,     init y,   init ang |      exp x,      exp y,     exp ang |      error x,      error y,    error ang : overflows (xyz), overflow iteration
 0 :   0.210901,  -0.717887,   0.000000 |   1.232148,   0.000000,  -73.628276 | 1.960843e+00, 4.430461e-01, 2.625469e+01 : 100,  1
 1 :   0.271516,   0.229429,   0.000000 |   0.585373,   0.000000,   40.197581 | 3.556970e-09, 4.656613e-10, 1.404615e-07 : 000, -1
 2 :  -0.674466,  -0.113178,   0.000000 |   1.126213,   0.000000, -170.474330 | 8.194444e-01, 9.369910e-01, 1.272272e+02 : 010,  1
 3 :  -0.872169,  -0.014341,   0.000000 |   1.436448,   0.000000, -179.057966 | 1.478340e+00, 8.324836e-01, 1.358108e+02 : 010,  1
 4 :  -0.651902,  -0.478119,   0.000000 |   1.331305,   0.000000, -143.742840 | 6.190707e-01, 7.482713e-01, 1.536258e+02 : 010,  0
 5 :   0.095679,   0.691044,   0.000000 |   1.148840,   0.000000,   82.117199 | 1.888516e+00, 6.375604e-01, 1.776577e+01 : 100,  1
 6 :   0.607230,  -0.373656,   0.000000 |   1.174115,   0.000000,  -31.605890 | 1.874520e+00, 6.813103e-01, 1.514697e+01 : 100,  1
 7 :   0.288310,   0.022787,   0.000000 |   0.476258,   0.000000,    4.519144 | 2.678336e-09, 4.656613e-10, 4.336411e-07 : 000, -1
 8 :   0.781825,  -0.435768,   0.000000 |   1.473961,   0.000000,  -29.134106 | 1.668434e+00, 9.770320e-01, 3.901707e+01 : 100,  0
 9 :   0.266653,   0.321852,   0.000000 |   0.688283,   0.000000,   50.358364 | 1.818133e-09, 4.656613e-10, 1.940216e-07 : 000, -1
10 :   0.045354,  -0.257065,   0.000000 |   0.429862,   0.000000,  -79.994340 | 3.514228e-09, 0.000000e+00, 3.797946e-07 : 000, -1
11 :  -0.761559,  -0.988113,   0.000000 |   2.054388,   0.000000, -127.622179 | 1.661246e+00, 4.656613e-10, 1.304762e+02 : 010,  0
12 :  -0.743624,   0.757643,   0.000000 |   1.748205,   0.000000,  134.464955 | 1.263779e+00, 3.207176e-01, 1.443479e+02 : 010,  0
13 :  -0.637530,   0.969797,   0.000000 |   1.911200,   0.000000,  123.320340 | 1.312231e+00, 4.656613e-10, 1.280836e+02 : 010,  0
14 :  -0.349032,  -0.989505,   0.000000 |   1.727877,   0.000000, -109.429462 | 2.627188e+00, 3.315462e-01, 1.193124e+02 : 110,  2
15 :   0.538467,  -0.253039,   0.000000 |   0.979754,   0.000000,  -25.169964 | 4.924535e-09, 4.656613e-10, 2.256705e-09 : 000, -1
16 :   0.216965,  -0.402489,   0.000000 |   0.752969,   0.000000,  -61.672748 | 2.515475e-09, 1.396984e-09, 1.912017e-07 : 000, -1
17 :   0.526389,   0.505197,   0.000000 |   1.201469,   0.000000,   43.823168 | 1.829966e+00, 9.365927e-01, 5.370613e+01 : 100,  0
18 :   0.952152,  -0.659992,   0.000000 |   1.907815,   0.000000,  -34.728062 | 1.889338e+00, 5.651271e-01, 4.461103e+01 : 100,  0
19 :   0.435455,   0.841874,   0.000000 |   1.560841,   0.000000,   62.649986 | 1.657807e+00, 9.605683e-01, 3.723298e+01 : 100,  0
20 :  -0.278200,  -0.777978,   0.000000 |   1.360591,   0.000000, -109.676765 | 2.085204e+00, 6.546922e-01, 1.195597e+02 : 110,  2
21 :   0.656981,   0.387623,   0.000000 |   1.256161,   0.000000,   30.540875 | 1.648360e+00, 9.994056e-01, 2.969035e+01 : 110,  5
22 :   0.552161,   0.693609,   0.000000 |   1.459939,   0.000000,   51.477760 | 1.830426e+00, 8.131392e-01, 4.840521e+01 : 100,  0
23 :   0.463433,  -0.629193,   0.000000 |   1.286850,   0.000000,  -53.626416 | 1.736762e+00, 9.752912e-01, 4.625655e+01 : 100,  0
24 :  -0.741961,   0.234149,   0.000000 |   1.281230,   0.000000,  162.485263 | 9.189331e-01, 7.157322e-01, 1.192381e+02 : 010,  1
25 :   0.482171,   0.252311,   0.000000 |   0.896161,   0.000000,   27.622247 | 4.787134e-09, 4.656613e-10, 3.921428e-07 : 000, -1
26 :  -0.378091,  -0.940839,   0.000000 |   1.669762,   0.000000, -111.893534 | 2.602462e+00, 4.187123e-01, 1.217765e+02 : 110,  2
27 :  -0.860291,   0.120715,   0.000000 |   1.430573,   0.000000,  172.012459 | 1.338199e+00, 7.182881e-01, 1.287653e+02 : 010,  1
