Vivado Simulator 2020.2
Time resolution is 1 ps
XilinxAXIVIP: Found at Path: tb_top.DUT.design_1_i.axi_vip_0.inst
Test initialized... Waiting for system reset...
System reset completed... Starting test...
Circular rotation test
---------------------------------------------
Number of tests             : 2500
Number of CORDIC iterations : 30
Number format               : q0.31
CORDIC iteration logging    : OFF
Test logging                : OFF
Input constraints           : OFF
---------------------------------------------
---------------------------------------------
Test table
No :     init x,     init y,   init ang |      exp x,      exp y,     exp ang |      error x,      error y,    error ang : overflows (xyz), overflow iteration
 0 :   0.141272,  -0.495808, -173.645310 |  -0.321582,   0.785711,    0.000000 | 2.339858e-09, 1.635504e-09, 8.381903e-08 : 000, -1
 1 :  -0.609853,   0.052535,  99.665770 |   0.083334,  -1.004550,    0.000000 | 6.125976e-02, 2.000268e+00, 7.152756e-02 : 010,  5
 2 :  -0.603439,  -0.927999,   1.339710 |  -0.957718,  -1.551008,    0.000000 | 1.516559e+00, 1.857290e+00, 1.709524e+01 : 010,  1
 3 :   0.053461,   0.462034,  42.966440 |  -0.454158,   0.616765,    0.000000 | 5.146749e-10, 3.489151e-09, 8.381903e-08 : 000, -1
 4 :   0.928355,   0.548278, 175.769791 |  -1.591214,  -0.787654,    0.000000 | 1.924542e+00, 1.429414e+00, 1.420474e+01 : 100,  1
 5 :  -0.224880,  -0.226821, -60.359860 |  -0.507788,   0.137141,    0.000000 | 8.478285e-11, 1.794920e-09, 1.676381e-07 : 000, -1
 6 :   0.895995,  -0.532640, -167.064498 |  -1.634394,   0.524577,    0.000000 | 2.024082e+00, 1.173615e+00, 5.499447e+00 : 100,  1
 7 :   0.561916,   0.946790, -34.504821 |   1.645766,   0.760668,    0.000000 | 2.329497e+00, 6.214407e-01, 1.606987e+01 : 100,  1
 8 :  -0.093735,  -0.228201,  65.172473 |   0.276246,  -0.297884,    0.000000 | 2.188149e-09, 1.211330e-09, -0.000000e+00 : 000, -1
 9 :  -0.261287,  -0.822896, -108.769318 |  -1.144605,   0.843414,    0.000000 | 1.040904e+00, 4.003635e-02, 3.343689e-01 : 010,  1
10 :  -0.609882,   0.042588, -89.675163 |   0.064437,   1.004711,    0.000000 | 4.035400e-02, 2.001830e+00, 1.264724e+00 : 010,  5
11 :   0.128056,   0.667733, -69.187504 |   1.102772,   0.193581,    0.000000 | 2.072591e+00, 2.853917e-01, 1.165870e+01 : 100,  2
12 :  -0.413078,  -0.925668, -170.528582 |   0.420127,   1.615510,    0.000000 | 1.263343e+00, 2.020469e+00, 8.963531e+00 : 010,  1
13 :  -0.674566,   0.418941, -30.024716 |  -0.616577,   1.153157,    0.000000 | 8.141994e-01, 1.874626e-01, 1.158977e+01 : 010,  1
14 :  -0.991477,  -0.317681,  21.093259 |  -1.335053,  -1.075687,    0.000000 | 1.006678e+00, 1.034281e-01, 2.658310e+00 : 010,  1
15 :  -0.189287,   0.136850,   7.082857 |  -0.337119,   0.185203,    0.000000 | 1.103428e-10, 2.364827e-09, -0.000000e+00 : 000, -1
16 :  -0.207427,  -0.764121, 170.731615 |   0.539787,   1.186881,    0.000000 | 3.927962e-01, 1.971113e+00, 4.869680e+00 : 010,  2
17 :   0.540478,   0.256003, -27.711879 |   0.983991,  -0.040671,    0.000000 | 1.660139e-11, 9.260306e-10, -0.000000e+00 : 000, -1
18 :   0.469756,  -0.464536, 165.613702 |  -0.559252,   0.933193,    0.000000 | 7.756943e-09, 3.794333e-09, 2.514571e-07 : 000, -1
19 :   0.711011,   0.775756, 122.459529 |  -1.706311,   0.302310,    0.000000 | 2.187172e+00, 6.236723e-01, 1.402458e+01 : 100,  1
20 :  -0.262054,   0.164547, -171.784414 |   0.465833,  -0.206522,    0.000000 | 5.025825e-10, 8.728201e-11, 8.381903e-08 : 000, -1
21 :  -0.557869,   0.523018,  56.174926 |  -1.226895,  -0.283740,    0.000000 | 2.163433e+00, 7.084453e-01, 1.539012e+01 : 100,  1
22 :  -0.767200,   0.226752, -91.212906 |   0.400065,   1.255208,    0.000000 | 5.643065e-01, 2.036851e+00, 3.185800e+00 : 010,  2
23 :   0.083322,   0.944141, 152.733561 |  -0.834252,  -1.319156,    0.000000 | 2.371986e-01, 9.446053e-01, 8.831490e+00 : 100,  1
24 :   0.383881,   0.298522, 111.979987 |  -0.692470,   0.402217,    0.000000 | 4.671036e-10, 2.635833e-09, 8.381903e-08 : 000, -1
25 :   0.560353,   0.972097, -50.903076 |   1.824285,   0.293385,    0.000000 | 2.085964e+00, 3.521347e-01, 2.066198e+01 : 100,  1
26 :  -0.376821,  -0.636793, -115.599510 |  -0.677587,   1.012716,    0.000000 | 9.108084e-01, 1.290885e-01, 7.164561e+00 : 010,  1
27 :   0.538032,  -0.713434, -33.556391 |   0.088939,  -1.468804,    0.000000 | 6.386087e-01, 2.129637e+00, 1.512144e+01 : 010,  1
28 :  -0.156288,  -0.681397, 105.651045 |   1.149925,   0.054891,    0.000000 | 2.023119e+00, 2.763159e-01, 1.125234e+01 : 100,  2
29 :   0.047775,  -0.240820, 141.108008 |   0.187755,   0.358061,    0.000000 | 4.500712e-10, 1.619088e-11, -0.000000e+00 : 000, -1
30 :  -0.535084,   0.241789,  12.726869 |  -0.947225,   0.194263,    0.000000 | 1.454286e-09, 9.487052e-10, 1.676381e-07 : 000, -1
31 :  -0.507660,   0.428879,  40.571978 |  -1.094366,  -0.007265,    0.000000 | 2.002877e+00, 2.686081e-01, 9.757695e-01 : 100,  3
32 :   0.123613,  -0.172486,  94.005536 |   0.269131,   0.222905,    0.000000 | 5.421213e-10, 1.056312e-09, 8.381903e-08 : 000, -1
33 :  -0.530623,   0.358226,  51.390165 |  -1.006234,  -0.314693,    0.000000 | 1.589291e-02, 8.008589e-02, 2.589960e+00 : 100,  4
34 :  -0.750406,   0.164450,  61.992488 |  -0.819381,  -0.963849,    0.000000 | 4.366573e-01, 7.593319e-02, 4.463680e+00 : 010,  2
35 :  -0.474633,  -0.444518, -70.049115 |  -0.954778,   0.484926,    0.000000 | 3.877917e-02, 3.429433e-01, 5.395291e+00 : 100,  3
36 :   0.978198,  -0.847725,  80.980728 |   1.631269,   1.372095,    0.000000 | 1.870582e+00, 1.328660e+00, 9.415677e+00 : 100,  1
