Hyperbolic rotation test
---------------------------------------------
Number of tests             : 2500
Number of CORDIC iterations : 10
Number format               : q3.28
CORDIC iteration logging    : OFF
Test logging                : OFF
Input constraints           :  ON
---------------------------------------------
---------------------------------------------
Test table
No :     init x,     init y,   init ang |      exp x,      exp y,     exp ang |      error x,      error y,    error ang : overflows (xyz), overflow iteration
 0 :  -0.919261,  -0.089759,  -0.965184 |  -1.062958,   0.744033,    0.000000 | 4.133931e-04, 5.908295e-04, 5.560578e-04 : 000, -1
 1 :   0.194252,  -0.572263,   0.552624 |  -0.089545,  -0.455547,    0.000000 | 1.057737e-03, 2.091564e-04, 2.321372e-03 : 000, -1
 2 :   0.663954,  -0.298543,  -0.470903 |   0.734173,  -0.544837,    0.000000 | 2.605010e-04, 3.508929e-04, 4.777405e-04 : 000, -1
 3 :  -0.312979,   0.089797,  -0.057090 |  -0.264384,   0.089468,    0.000000 | 6.283316e-05, 1.853898e-04, 7.010698e-04 : 000, -1
 4 :   0.543208,   1.006246,   0.296678 |   0.722093,   1.007677,    0.000000 | 7.142853e-04, 5.120581e-04, 7.085493e-04 : 000, -1
 5 :  -0.789383,   0.782666,   0.445009 |  -0.422309,   0.413611,    0.000000 | 4.032475e-04, 4.117182e-04, 9.742845e-04 : 000, -1
 6 :  -1.071037,  -0.465516,  -0.979671 |  -0.908498,   0.429818,    0.000000 | 2.508733e-04, 5.297963e-04, 5.829977e-04 : 000, -1
 7 :  -0.611869,   0.870222,   0.549126 |  -0.169458,   0.540702,    0.000000 | 2.954279e-03, 9.332124e-04, 5.459024e-03 : 000, -1
 8 :  -0.542971,   0.073455,   0.483278 |  -0.473577,  -0.158106,    0.000000 | 2.531379e-05, 7.602988e-05, 1.605931e-04 : 000, -1
 9 :  -0.147115,   0.456148,  -0.697712 |  -0.439052,   0.566683,    0.000000 | 1.453559e-05, 1.123525e-05, 2.578041e-05 : 000, -1
10 :  -0.041359,   1.135850,   0.613127 |   0.573795,   1.102898,    0.000000 | 4.574768e-04, 2.381942e-04, 4.146690e-04 : 000, -1
11 :   0.025822,   0.200739,  -0.598647 |  -0.080398,   0.183712,    0.000000 | 1.341625e-04, 5.864734e-05, 7.304861e-04 : 000, -1
12 :  -0.950697,   0.699044,   0.898115 |  -0.535127,   0.022487,    0.000000 | 9.364214e-07, 2.016024e-05, 3.767991e-05 : 000, -1
13 :  -0.478340,   0.402922,  -0.543506 |  -0.647794,   0.611453,    0.000000 | 9.836884e-05, 1.042310e-04, 1.607230e-04 : 000, -1
14 :  -0.297742,  -0.982109,   0.429989 |  -0.631566,  -1.000978,    0.000000 | 3.746251e-04, 2.365038e-04, 3.741151e-04 : 000, -1
15 :   0.257235,  -0.388874,   0.892687 |  -0.023568,  -0.243142,    0.000000 | 1.140949e-04, 1.098807e-05, 4.692976e-04 : 000, -1
16 :   0.677235,   0.409991,   0.085435 |   0.593110,   0.389515,    0.000000 | 1.158394e-04, 1.765010e-04, 2.977173e-04 : 000, -1
17 :   0.505505,  -1.076233,  -0.360279 |   0.775726,  -1.106039,    0.000000 | 4.104884e-04, 2.877583e-04, 3.712848e-04 : 000, -1
18 :   0.796302,  -0.563291,  -0.447420 |   0.944180,  -0.820577,    0.000000 | 4.277446e-04, 4.920957e-04, 5.209362e-04 : 000, -1
19 :   0.798207,  -0.724180,   0.699259 |   0.375691,  -0.252085,    0.000000 | 9.594864e-05, 1.430736e-04, 3.809771e-04 : 000, -1
20 :  -0.026758,  -0.273114,   0.308155 |  -0.094212,  -0.244422,    0.000000 | 2.325148e-04, 8.974679e-05, 9.510368e-04 : 000, -1
21 :   0.936141,   0.140319,  -0.784333 |   0.927250,  -0.519560,    0.000000 | 3.561981e-04, 6.361602e-04, 6.862856e-04 : 000, -1
22 :  -0.191965,   0.070148,   0.817323 |  -0.162471,  -0.066421,    0.000000 | 4.361434e-05, 1.065591e-04, 6.557205e-04 : 000, -1
