Hyperbolic rotation test
---------------------------------------------
Number of tests             : 10000
Number of CORDIC iterations : 30
Number format               : q3.28
CORDIC iteration logging    : OFF
Test logging                : OFF
Input constraints           : OFF
---------------------------------------------
INFO: [USF-XSim-96] XSim completed. Design snapshot 'tb_top_behav' loaded.
INFO: [USF-XSim-97] XSim simulation ran for 1000ns
launch_simulation: Time (s): cpu = 00:00:39 ; elapsed = 00:00:19 . Memory (MB): peak = 7529.789 ; gain = 14.004 ; free physical = 4212 ; free virtual = 12300
run all
---------------------------------------------
Test table
No :     init x,     init y,   init ang |      exp x,      exp y,     exp ang |      error x,      error y,    error ang : overflows (xyz), overflow iteration : Cycle Count
 0 :   1.130178,  -3.966463,  -0.964696 |   5.100099,  -5.997014,    0.000000 | 3.969921e+00, 2.030552e+00, 9.646962e-01 : 000,  0 :  54
 1 :  -4.878824,   0.420283,   0.553699 |  -4.481836,  -1.954295,    0.000000 | 3.969882e-01, 2.374578e+00, 5.536987e-01 : 000,  0 :  54
 2 :  -4.827510,  -7.423994,   0.007443 |  -4.051741,  -6.190279,    0.000000 | 7.757696e-01, 1.233715e+00, 7.442832e-03 : 000,  0 :  54
 3 :   0.427686,   3.696275,   0.238702 |   1.104141,   3.240416,    0.000000 | 6.764556e-01, 4.558595e-01, 2.387024e-01 : 000,  0 :  54
 4 :   7.426842,   4.386222,   0.976499 |  13.488335,  12.538085,    0.000000 | 5.843471e+00, 6.033453e+00, 1.717799e-01 : 110,  2 :  56
 5 :  -1.799037,  -1.814571,  -0.335333 |  -1.063104,  -1.081128,    0.000000 | 7.359335e-01, 7.334424e-01, 3.353326e-01 : 000,  0 :  54
 6 :   7.167961,  -4.261121,  -0.928136 |  12.472537, -11.519082,    0.000000 | 1.721274e+01, 5.349350e+00, 1.234171e-01 : 100,  2 :  56
 7 :   4.495327,   7.574320,  -0.191693 |   2.586692,   5.681431,    0.000000 | 1.908634e+00, 1.892889e+00, 1.916934e-01 : 000,  0 :  54
 8 :  -0.749883,  -1.825608,   0.362069 |  -1.224018,  -1.845489,    0.000000 | 4.741352e-01, 1.988023e-02, 3.620693e-01 : 000,  0 :  54
 9 :  -2.090293,  -6.583168,  -0.604274 |   1.444575,  -5.377570,    0.000000 | 3.534868e+00, 1.205598e+00, 6.042740e-01 : 000,  0 :  54
10 :  -4.879057,   0.340705,  -0.498195 |  -4.708196,   2.419973,    0.000000 | 1.708605e-01, 2.079268e+00, 4.981954e-01 : 000,  0 :  54
11 :   1.024446,   5.341863,  -0.384375 |  -0.832399,   4.429226,    0.000000 | 1.856844e+00, 9.126376e-01, 3.843750e-01 : 000,  0 :  54
