Hyperbolic vectoring test
---------------------------------------------
Number of tests             : 2500
Number of CORDIC iterations : 15
Number format               : q3.28
CORDIC iteration logging    : OFF
Test logging                : OFF
Input constraints           :  ON
---------------------------------------------
---------------------------------------------
Test table
No :     init x,     init y,   init ang |      exp x,      exp y,     exp ang |      error x,      error y,    error ang : overflows (xyz), overflow iteration
 0 :   0.663954,  -0.298543,   0.000000 |   0.492101,   0.000000,   -0.484255 | 6.636358e-09, 3.986061e-06, 8.108201e-06 : 000, -1
 1 :   0.677235,   0.409991,   0.000000 |   0.447278,   0.000000,    0.701612 | 5.563637e-09, 5.334616e-06, 1.192250e-05 : 000, -1
 2 :   0.796302,  -0.563291,   0.000000 |   0.467042,   0.000000,   -0.881928 | 1.415064e-08, 2.365559e-06, 5.071442e-06 : 000, -1
 3 :   0.936141,   0.140319,   0.000000 |   0.768017,   0.000000,    0.151028 | 1.037031e-08, 1.317263e-05, 1.715152e-05 : 000, -1
 4 :   0.951493,  -0.213612,   0.000000 |   0.769377,   0.000000,   -0.228392 | 3.595411e-09, 4.351139e-06, 5.664705e-06 : 000, -1
 5 :   0.953496,   0.449167,   0.000000 |   0.697907,   0.000000,    0.511449 | 2.804740e-09, 1.349673e-05, 1.934265e-05 : 000, -1
 6 :   0.735045,   0.089304,   0.000000 |   0.605409,   0.000000,    0.122097 | 8.695433e-09, 9.208918e-06, 1.520792e-05 : 000, -1
 7 :   0.578541,  -0.399072,   0.000000 |   0.347570,   0.000000,   -0.847556 | 4.036604e-09, 1.225621e-06, 3.511682e-06 : 000, -1
 8 :   0.808627,   0.152680,   0.000000 |   0.658915,   0.000000,    0.191107 | 3.456086e-09, 2.592802e-06, 3.930011e-06 : 000, -1
 9 :   0.887145,  -0.319005,   0.000000 |   0.686898,   0.000000,   -0.376410 | 6.130119e-09, 5.230308e-06, 7.623221e-06 : 000, -1
10 :   1.067128,  -0.115890,   0.000000 |   0.880246,   0.000000,   -0.109030 | 1.081603e-09, 1.858547e-05, 2.111930e-05 : 000, -1
11 :   0.772036,  -0.128832,   0.000000 |   0.631639,   0.000000,   -0.168448 | 1.598904e-08, 6.776303e-06, 1.070271e-05 : 000, -1
12 :   0.645528,  -0.300765,   0.000000 |   0.473955,   0.000000,   -0.504848 | 8.841095e-09, 1.357496e-05, 2.864462e-05 : 000, -1
13 :   0.582652,  -0.123370,   0.000000 |   0.472512,   0.000000,   -0.214991 | 1.003624e-08, 9.745359e-06, 2.062120e-05 : 000, -1
14 :   0.467130,   0.255406,   0.000000 |   0.324547,   0.000000,    0.613742 | 2.188721e-10, 4.362315e-06, 1.344761e-05 : 000, -1
15 :   0.385607,   0.257636,   0.000000 |   0.238072,   0.000000,    0.807360 | 8.852651e-09, 6.828457e-06, 2.866022e-05 : 000, -1
16 :   0.619957,  -0.072832,   0.000000 |   0.510867,   0.000000,   -0.118024 | 2.168296e-09, 6.854534e-07, 1.360672e-06 : 000, -1
17 :   0.617743,  -0.049444,   0.000000 |   0.510947,   0.000000,   -0.080212 | 1.245616e-09, 6.262213e-06, 1.225364e-05 : 000, -1
18 :   0.804737,   0.418833,   0.000000 |   0.570187,   0.000000,    0.576970 | 5.010649e-09, 1.232326e-05, 2.160763e-05 : 000, -1
19 :   0.217501,   0.145611,   0.000000 |   0.134066,   0.000000,    0.809784 | 5.843065e-09, 2.041459e-06, 1.527429e-05 : 000, -1
20 :   0.859139,  -0.582958,   0.000000 |   0.523670,   0.000000,   -0.826398 | 5.266307e-09, 1.441315e-05, 2.752106e-05 : 000, -1
21 :   0.907438,   0.128779,   0.000000 |   0.745354,   0.000000,    0.142879 | 6.199721e-09, 9.249896e-06, 1.242611e-05 : 000, -1
22 :   0.483696,   0.147376,   0.000000 |   0.382278,   0.000000,    0.314678 | 5.628649e-09, 4.917383e-06, 1.286216e-05 : 000, -1
23 :   0.007738,  -0.005237,   0.000000 |   0.004728,   0.000000,   -0.822995 | 1.647814e-09, 1.005828e-07, 1.890992e-05 : 000, -1
24 :   0.877517,   0.196429,   0.000000 |   0.709670,   0.000000,    0.227702 | 5.687197e-09, 1.736358e-05, 2.447427e-05 : 000, -1
25 :   1.030296,   0.306443,   0.000000 |   0.816229,   0.000000,    0.306700 | 1.204117e-08, 4.447997e-06, 5.459294e-06 : 000, -1
26 :   0.213846,  -0.141809,   0.000000 |   0.132818,   0.000000,   -0.798390 | 4.091464e-09, 3.762543e-07, 2.798461e-06 : 000, -1
27 :   0.264240,   0.021549,   0.000000 |   0.218531,   0.000000,    0.081733 | 9.657737e-09, 3.762543e-06, 1.720603e-05 : 000, -1
28 :   0.845337,   0.116347,   0.000000 |   0.694770,   0.000000,    0.138512 | 3.381418e-09, 1.454353e-05, 2.092294e-05 : 000, -1
