Vivado Simulator 2020.2
Time resolution is 1 ps
XilinxAXIVIP: Found at Path: tb_top.DUT.design_1_i.axi_vip_0.inst
Test initialized... Waiting for system reset...
System reset completed... Starting test...
Hyperbolic vectoring test
---------------------------------------------
Number of tests             : 10000
Number of CORDIC iterations : 30
Number format               : q3.28
CORDIC iteration logging    : OFF
Test logging                : OFF
Input constraints           : OFF
---------------------------------------------
---------------------------------------------
Test table
No :     init x,     init y,   init ang |      exp x,      exp y,     exp ang |      error x,      error y,    error ang : overflows (xyz), overflow iteration : Cycle Count
 0 :   1.130178,  -3.966463,   0.000000 |   0.000000,   0.000000,    0.000000 | 1.130178e+00, 3.966463e+00, -0.000000e+00 : 000,  0 :  54
 1 :  -7.717569,  -4.878824,   0.000000 |   4.961924,   0.000000,    0.745024 | 1.267949e+01, 4.878824e+00, 7.450242e-01 : 000,  0 :  54
 2 :   0.420283,   4.429590,   0.000000 |   0.000000,   0.000000,    0.000000 | 4.202834e-01, 4.429590e+00, -0.000000e+00 : 000,  0 :  54
 3 :  -4.827510,  -7.423994,   0.000000 |   0.000000,   0.000000,    0.000000 | 4.827510e+00, 7.423994e+00, -0.000000e+00 : 000,  0 :  54
 4 :   0.059543,   0.427686,   0.000000 |   0.000000,   0.000000,    0.000000 | 5.954266e-02, 4.276858e-01, -0.000000e+00 : 000,  0 :  54
 5 :   3.696275,   1.909620,   0.000000 |   2.626072,   0.000000,    0.571737 | 2.203563e-08, -0.000000e+00, 4.238898e-10 : 000, -1 :  83
 6 :   7.426842,   4.386222,   0.000000 |   4.973088,   0.000000,    0.678572 | 3.142268e-08, 1.862645e-08, 2.192570e-09 : 000, -1 :  83
 7 :   7.811991,  -1.799037,   0.000000 |   6.308014,   0.000000,   -0.234498 | 1.506984e-08, 3.725290e-09, 2.116254e-09 : 000, -1 :  83
 8 :  -1.814571,  -2.682660,   0.000000 |   0.000000,   0.000000,    0.000000 | 1.814571e+00, 2.682660e+00, -0.000000e+00 : 000,  0 :  54
 9 :   7.167961,  -4.261121,   0.000000 |   4.782776,   0.000000,   -0.684547 | 2.820464e-08, 7.450581e-09, 9.961758e-10 : 000, -1 :  83
10 :  -7.425089,   4.495327,   0.000000 |   4.903720,   0.000000,   -0.701666 | 1.232881e+01, 4.495327e+00, 7.016656e-01 : 000,  0 :  54
11 :   7.574320,  -1.533548,   0.000000 |   6.154863,   0.000000,   -0.205303 | 2.211013e-08, 7.450581e-09, 2.960535e-11 : 000, -1 :  83
12 :  -0.749883,  -1.825608,   0.000000 |   0.000000,   0.000000,    0.000000 | 7.498828e-01, 1.825608e+00, -0.000000e+00 : 000,  0 :  54
13 :   2.896554,  -2.090293,   0.000000 |   1.663852,   0.000000,   -0.911076 | 3.662426e-08, 3.725290e-09, 9.219889e-09 : 000, -1 :  83
14 :  -6.583168,  -4.834192,   0.000000 |   3.707990,   0.000000,    0.938052 | 1.029116e+01, 4.834192e+00, 9.380523e-01 : 000,  0 :  54
15 :  -4.879057,   0.340705,   0.000000 |   4.038669,   0.000000,   -0.069944 | 8.917725e+00, 3.407050e-01, 6.994393e-02 : 000,  0 :  54
16 :  -3.985563,   1.024446,   0.000000 |   3.196030,   0.000000,   -0.262935 | 7.181593e+00, 1.024446e+00, 2.629355e-01 : 000,  0 :  54
17 :   5.341863,  -3.075000,   0.000000 |   3.624529,   0.000000,   -0.655920 | 3.574601e-08, 3.725290e-09, 4.877912e-09 : 000, -1 :  83
18 :  -3.304628,  -7.405342,   0.000000 |   0.000000,   0.000000,    0.000000 | 3.304628e+00, 7.405342e+00, -0.000000e+00 : 000,  0 :  54
19 :  -7.579048,  -5.396524,   0.000000 |   4.415771,   0.000000,    0.891293 | 1.199482e+01, 5.396524e+00, 8.912933e-01 : 000,  0 :  54
20 :   3.351530,  -1.334432,   0.000000 |   2.551095,   0.000000,   -0.421456 | 1.514292e-08, 3.725290e-09, 7.321643e-09 : 000, -1 :  83
21 :  -7.931814,  -2.541444,   0.000000 |   6.234678,   0.000000,    0.332106 | 1.416649e+01, 2.541444e+00, 3.321056e-01 : 000,  0 :  54
22 :   0.937478,  -1.514295,   0.000000 |   0.000000,   0.000000,    0.000000 | 9.374782e-01, 1.514295e+00, -0.000000e+00 : 000,  0 :  54
23 :   1.094796,   0.314794,   0.000000 |   0.870078,   0.000000,    0.295878 | 5.254096e-08, 3.725290e-09, 2.482503e-08 : 000, -1 :  83
24 :  -1.659414,  -6.112964,   0.000000 |   0.000000,   0.000000,    0.000000 | 1.659414e+00, 6.112964e+00, -0.000000e+00 : 000,  0 :  54
25 :   7.588072,   4.323823,   0.000000 |   5.174231,   0.000000,    0.647254 | 2.820977e-08, 3.725290e-09, 8.655605e-10 : 000, -1 :  83
26 :   2.048023,  -1.231639,   0.000000 |   1.357768,   0.000000,   -0.695306 | 2.329088e-08, -0.000000e+00, 1.980277e-09 : 000, -1 :  83
27 :   3.758045,  -3.716291,   0.000000 |   0.463551,   0.000000,   -2.593720 | 6.817442e-01, 1.047284e+00, 3.553876e+00 : 001,  6 :  60
28 :   7.360609,   5.688085,   0.000000 |   3.876444,   0.000000,    1.027177 | 4.687564e-04, 4.910621e-02, 1.987333e+00 : 001,  6 :  60
29 :   6.206049,   5.442646,   0.000000 |   2.474454,   0.000000,    1.362582 | 1.300974e-01, 8.125680e-01, 2.322737e+00 : 001,  6 :  60
30 :  -2.096433,   1.316373,   0.000000 |   1.353891,   0.000000,   -0.737960 | 3.450324e+00, 1.316373e+00, 7.379597e-01 : 000,  0 :  54
