Hyperbolic vectoring test
---------------------------------------------
Number of tests             : 2500
Number of CORDIC iterations : 30
Number format               : q3.28
CORDIC iteration logging    : OFF
Test logging                : OFF
Input constraints           : OFF
---------------------------------------------
---------------------------------------------
Test table
No :     init x,     init y,   init ang |      exp x,      exp y,     exp ang |      error x,      error y,    error ang : overflows (xyz), overflow iteration
 0 :   1.687206,  -5.743098,   0.000000 |   0.000000,   0.000000,    0.000000 | 3.762200e+00, 5.907983e+00, 9.445306e-01 : 001,  4
 1 :   2.172125,   1.835431,   0.000000 |   0.963877,   0.000000,    1.238381 | 1.616905e-02, 1.772888e-01, 2.182911e+00 : 001,  4
 2 :  -5.395730,  -0.905421,   0.000000 |   4.413792,   0.000000,    0.169405 | 3.427436e+00, 6.613323e+00, 7.751253e-01 : 101,  5
 3 :  -6.977353,  -0.114729,   0.000000 |   5.788897,   0.000000,    0.016445 | 8.489457e-01, 5.462171e+00, 9.280861e-01 : 101,  4
 4 :  -5.215212,  -3.824954,   0.000000 |   2.941709,   0.000000,    0.936094 | 2.521716e+00, 6.126364e+00, 1.490063e+00 : 110,  1
 5 :   0.765431,   5.528352,   0.000000 |   0.000000,   0.000000,    0.000000 | 4.769167e+00, 6.586737e+00, 9.445306e-01 : 001,  4
 6 :   4.857838,  -2.989250,   0.000000 |   3.177421,   0.000000,   -0.717480 | 2.286914e-08, 3.725290e-09, 5.637531e-09 : 000, -1
 7 :   2.306479,   0.182299,   0.000000 |   1.907886,   0.000000,    0.079203 | 3.996255e-08, 1.490116e-08, 1.147655e-09 : 000, -1
 8 :   6.254603,  -3.486145,   0.000000 |   4.309024,   0.000000,   -0.629014 | 2.895020e-08, 3.725290e-09, 2.349940e-09 : 000, -1
 9 :   2.133224,   2.574813,   0.000000 |   0.000000,   0.000000,    0.000000 | 1.533876e-01, 1.206238e+00, 9.445306e-01 : 001,  4
10 :   0.362829,  -2.056517,   0.000000 |   0.000000,   0.000000,    0.000000 | 1.669733e+00, 2.368411e+00, 9.445306e-01 : 001,  4
11 :  -6.092472,  -7.904905,   0.000000 |   0.000000,   0.000000,    0.000000 | 3.898015e+00, 2.457596e+00, 4.314292e-02 : 110,  0
12 :  -5.948989,   6.061147,   0.000000 |   0.000000,   0.000000,    0.000000 | 4.083211e+00, 3.994074e+00, 4.314292e-02 : 110,  0
13 :  -5.100243,   7.758374,   0.000000 |   0.000000,   0.000000,    0.000000 | 4.727362e+00, 2.614829e+00, 4.314292e-02 : 110,  0
14 :  -2.792254,  -7.916041,   0.000000 |   0.000000,   0.000000,    0.000000 | 5.823908e+00, 5.883459e+00, 5.446437e-01 : 110,  1
15 :   4.307740,  -2.024311,   0.000000 |   3.155221,   0.000000,   -0.509973 | 5.586611e-08, 7.450581e-09, 7.960893e-09 : 000, -1
16 :   1.735718,  -3.219909,   0.000000 |   0.000000,   0.000000,    0.000000 | 1.053763e+00, 2.484890e+00, 9.445306e-01 : 001,  4
17 :   4.211111,   4.041580,   0.000000 |   0.981490,   0.000000,    1.942630 | 4.122499e-01, 9.895393e-01, 2.887161e+00 : 001,  4
18 :   7.617219,  -5.279934,   0.000000 |   4.555820,   0.000000,   -0.854008 | 2.757999e-08, 0.000000e+00, 5.591796e-10 : 000, -1
19 :   3.483637,   6.734992,   0.000000 |   0.000000,   0.000000,    0.000000 | 2.400481e+00, 5.351500e+00, 9.445306e-01 : 001,  4
20 :  -2.225603,  -6.223820,   0.000000 |   0.000000,   0.000000,    0.000000 | 6.980881e+00, 6.825278e+00, 8.041549e-01 : 110,  2
21 :   5.255847,   3.100983,   0.000000 |   3.521231,   0.000000,    0.677676 | 2.185594e-08, 7.450581e-09, 4.020886e-10 : 000, -1
22 :   4.417288,   5.548869,   0.000000 |   0.000000,   0.000000,    0.000000 | 9.007779e-02, 2.788030e+00, 9.445306e-01 : 001,  4
23 :   3.707465,  -5.033540,   0.000000 |   0.000000,   0.000000,    0.000000 | 3.186857e-01, 2.842984e+00, 9.445306e-01 : 001,  4
24 :  -5.935688,   1.873194,   0.000000 |   4.673633,   0.000000,   -0.326732 | 1.764211e+00, 4.710582e+00, 6.177983e-01 : 101,  4
25 :   3.857365,   2.018489,   0.000000 |   2.727568,   0.000000,    0.580849 | 2.884524e-08, 3.725290e-09, 2.251365e-09 : 000, -1
26 :  -3.024731,  -7.526709,   0.000000 |   0.000000,   0.000000,    0.000000 | 5.786459e+00, 5.621623e+00, 5.446437e-01 : 110,  1
27 :  -6.882332,   0.965722,   0.000000 |   5.654331,   0.000000,   -0.141251 | 4.690903e-01, 4.489558e+00, 8.032796e-01 : 101,  4
